Fri Mar 27 14:13:52 +0000 2020	1243541752595824642	1243541752595824642	This got me wondering, since the start of this #CoronaOutbreak No body, not a single soul posted "I'm sick I need your prayers " why na?🤣🤣🤣🤣	False	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '006c6743642cb09c', 'url': 'https://api.twitter.com/1.1/geo/id/006c6743642cb09c.json', 'place_type': 'city', 'name': 'Kaduna', 'full_name': 'Kaduna, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[7.356623, 10.425262], [7.356623, 10.597228], [7.488022, 10.597228], [7.488022, 10.425262]]]}, 'attributes': {}}	None	495201843	495201843	Aliyu Uthman	AliyuUthman	Kaduna, Nigeria	La Ilaha Illallah Muhammadur Rasoulullah SAW. @AliyuUthmaan backup account. Madridista. MD @ AIG Clothing and Electronics. Reach us on 09030091850 07042287122.	006c6743642cb09c	https://api.twitter.com/1.1/geo/id/006c6743642cb09c.json	city	Kaduna	Kaduna, Nigeria	NG	Nigeria	NULL	Polygon	[[[7.356623, 10.425262], [7.356623, 10.597228], [7.488022, 10.597228], [7.488022, 10.425262]]]	NULL	NULL	NULL	NULL	en
Sun Mar 22 20:11:33 +0000 2020	1241819828018712587	1241819828018712587	This shit is getting real, please y’all should put me in your prayers because i moved around a lot  😭 😷#COVIDー19… https://t.co/9XL9avKTYL	True	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	None	None	None	None	None	{'id': '00817d75276a95cf', 'url': 'https://api.twitter.com/1.1/geo/id/00817d75276a95cf.json', 'place_type': 'city', 'name': 'Lagos', 'full_name': 'Lagos, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[3.213147, 6.427886], [3.213147, 6.558339], [3.464064, 6.558339], [3.464064, 6.427886]]]}, 'attributes': {}}	None	231913077	231913077	life of “LAYII” 😈	DatYUNGMANE_boy	Lagos, Nigeria	TALENT MANAGEMENT|A&R| PR| MUSIC PROMOTION|MUSIC STREAMING PLATFORMS|FOUNDER http://SURGE.NG.proud 30BG4L |DMW| OBO| MANAGING @shayzaroffical @uchay_of	00817d75276a95cf	https://api.twitter.com/1.1/geo/id/00817d75276a95cf.json	city	Lagos	Lagos, Nigeria	NG	Nigeria	NULL	Polygon	[[[3.213147, 6.427886], [3.213147, 6.558339], [3.464064, 6.558339], [3.464064, 6.427886]]]	NULL	NULL	NULL	NULL	en
Fri Mar 20 23:52:06 +0000 2020	1241150556930019334	1241150556930019334	#CoronaVirusInNigeria #CoronaOutbreaki pray for you tonight the diseases that kills both Rich and Poor will not k… https://t.co/3VQKluFgLu	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '00817d75276a95cf', 'url': 'https://api.twitter.com/1.1/geo/id/00817d75276a95cf.json', 'place_type': 'city', 'name': 'Lagos', 'full_name': 'Lagos, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[3.213147, 6.427886], [3.213147, 6.558339], [3.464064, 6.558339], [3.464064, 6.427886]]]}, 'attributes': {}}	None	1224427506398310412	1224427506398310412	KingsEmpire	Humblestitches0	Lagos, Nigeria	Don't tell people your dreams. Show them.  WE Are (Music Makers)(Sound engineers)(VisualAr)Orientation is humanity to them that understand life:brave heart	00817d75276a95cf	https://api.twitter.com/1.1/geo/id/00817d75276a95cf.json	city	Lagos	Lagos, Nigeria	NG	Nigeria	NULL	Polygon	[[[3.213147, 6.427886], [3.213147, 6.558339], [3.464064, 6.558339], [3.464064, 6.427886]]]	NULL	NULL	NULL	NULL	en
Thu Mar 19 14:13:30 +0000 2020	1240642556834258944	1240642556834258944	There are diseases associated with wealth &amp; there are diseases associated with poverty #CONVID19 is for both;And ne… https://t.co/9IZfT0QN0H	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '01b68e946ba11520', 'url': 'https://api.twitter.com/1.1/geo/id/01b68e946ba11520.json', 'place_type': 'city', 'name': 'Birnin-Kebbi', 'full_name': 'Birnin-Kebbi, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[4.167676, 12.425955], [4.167676, 12.476491], [4.236657, 12.476491], [4.236657, 12.425955]]]}, 'attributes': {}}	None	1671958352	1671958352	Mayor of Gusau👑	iamKingMustee	Nigeria	Yσυ αяє ησt Rι¢н UηtιĻ уσυ ¢αη ƒĻу ση α Pяιναtє Jєt ωιtнOυt Pσѕтιηg α Pι¢tυяє💯 #K𝓲𝓷𝓰👑 #𝕺𝖗𝖊𝖆𝖒Çh𝖆𝖘𝖊𝖗🤴🏾®™   #R.i.P_Mum💗🤲 #ForeveInOurHearts💘	01b68e946ba11520	https://api.twitter.com/1.1/geo/id/01b68e946ba11520.json	city	Birnin-Kebbi	Birnin-Kebbi, Nigeria	NG	Nigeria	NULL	Polygon	[[[4.167676, 12.425955], [4.167676, 12.476491], [4.236657, 12.476491], [4.236657, 12.425955]]]	NULL	NULL	NULL	NULL	en
Wed Mar 18 20:19:45 +0000 2020	1240372341554774021	1240372341554774021	Nothing to talk about except,#CoronaOutBreak #CoronaVirus,we live in a time &amp; moment of "fair &amp; trust". May GOD Protects Us.	False	<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>	None	None	None	None	None	None	None	{'id': '01b33697221c918e', 'url': 'https://api.twitter.com/1.1/geo/id/01b33697221c918e.json', 'place_type': 'city', 'name': 'Hausa', 'full_name': 'Hausa, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[12.461602, 9.182269], [12.461602, 9.222757], [12.505785, 9.222757], [12.505785, 9.182269]]]}, 'attributes': {}}	None	87663853	87663853	AMAR ABUBAKAR	amargirma	Yola Nigeria 🇳🇬🇸🇦	#TownPlanner, specialize in #EnvironmentalImpactAssessment.#RandomVibes #GoodCovos #MaturedMinds #HalaMadrid	01b33697221c918e	https://api.twitter.com/1.1/geo/id/01b33697221c918e.json	city	Hausa	Hausa, Nigeria	NG	Nigeria	NULL	Polygon	[[[12.461602, 9.182269], [12.461602, 9.222757], [12.505785, 9.222757], [12.505785, 9.182269]]]	NULL	NULL	NULL	NULL	en
Wed Mar 18 13:05:17 +0000 2020	1240263003062362118	1240263003062362118	And now, they won't take drastic decision because of some selfish interest. #CoronaVirusNigeria #CoronaVirusUpdate… https://t.co/VPFdjeEIrS	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '0065f09a6666479e', 'url': 'https://api.twitter.com/1.1/geo/id/0065f09a6666479e.json', 'place_type': 'city', 'name': 'Ibadan', 'full_name': 'Ibadan, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[3.777011, 7.299143], [3.777011, 7.559006], [4.033582, 7.559006], [4.033582, 7.299143]]]}, 'attributes': {}}	None	2944217261	2944217261	Ọmọlúàbí	iamdabreath	Nigeria	A Digital Marketing Executive, Graphics and Web Designer. #songwriter. Download my new track 👇	0065f09a6666479e	https://api.twitter.com/1.1/geo/id/0065f09a6666479e.json	city	Ibadan	Ibadan, Nigeria	NG	Nigeria	NULL	Polygon	[[[3.777011, 7.299143], [3.777011, 7.559006], [4.033582, 7.559006], [4.033582, 7.299143]]]	NULL	NULL	NULL	NULL	en
Wed Mar 18 06:29:50 +0000 2020	1240163483544621056	1240163483544621056	@DavidHundeyin @NewsWireNGR The content had already been deleted. Any other source?#CoronaOutbreak	False	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	1239933261209575428	1239933261209575428	3315017925	3315017925	DavidHundeyin	None	None	{'id': '00817d75276a95cf', 'url': 'https://api.twitter.com/1.1/geo/id/00817d75276a95cf.json', 'place_type': 'city', 'name': 'Lagos', 'full_name': 'Lagos, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[3.213147, 6.427886], [3.213147, 6.558339], [3.464064, 6.558339], [3.464064, 6.427886]]]}, 'attributes': {}}	None	2188618770	2188618770	DIAGNOPRENEUR	diagnopreneur	Lagos	MLS| Scientific Content Developer| Diagnopreneur🔬📊 |Digital Content Entrepreneur| Digital Instructor|Badass Video Editor/Documentary producer|Monotheist	00817d75276a95cf	https://api.twitter.com/1.1/geo/id/00817d75276a95cf.json	city	Lagos	Lagos, Nigeria	NG	Nigeria	NULL	Polygon	[[[3.213147, 6.427886], [3.213147, 6.558339], [3.464064, 6.558339], [3.464064, 6.427886]]]	NULL	NULL	NULL	NULL	en
Tue Mar 17 19:12:42 +0000 2020	1239993079668539392	1239993079668539392	#CoronaVirusNigeria #CoronaOutbreak how close are scientists to a vaccine? https://t.co/umaWy3DjNa via @TheNationalUAE	False	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '00817d75276a95cf', 'url': 'https://api.twitter.com/1.1/geo/id/00817d75276a95cf.json', 'place_type': 'city', 'name': 'Lagos', 'full_name': 'Lagos, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[3.213147, 6.427886], [3.213147, 6.558339], [3.464064, 6.558339], [3.464064, 6.427886]]]}, 'attributes': {}}	None	106066690	106066690	#EndSWAT	tunjigreen	Lagos, Nigeria	Who is afraid anyway?no need to cherish luxuries life come!  no Free Wifi. Sea Doo. Global Adventure. ❤Dubai. ❤Singapore. Husband. Dad of 3. JESUS ❤s You.	00817d75276a95cf	https://api.twitter.com/1.1/geo/id/00817d75276a95cf.json	city	Lagos	Lagos, Nigeria	NG	Nigeria	NULL	Polygon	[[[3.213147, 6.427886], [3.213147, 6.558339], [3.464064, 6.558339], [3.464064, 6.427886]]]	NULL	NULL	NULL	NULL	en
Mon Mar 16 12:18:06 +0000 2020	1239526354581884929	1239526354581884929	The world as we know it is about to change forever. #CoronaOutbreak has made a landfall and nations are imperiled.… https://t.co/zQInpHWSty	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '01ed1f9a43bfb9bd', 'url': 'https://api.twitter.com/1.1/geo/id/01ed1f9a43bfb9bd.json', 'place_type': 'city', 'name': 'Victoria Island', 'full_name': 'Victoria Island, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[3.402322, 6.396264], [3.402322, 6.486797], [3.601369, 6.486797], [3.601369, 6.396264]]]}, 'attributes': {}}	None	2449651845	2449651845	Oluwayomi Aoko 🇳🇬🇦🇺	OluwayomiAoko	Nigeria. Australia. Canada.	PhD Candidate #PhysicalActivity Alumni: @OAUniversity #PhysioCEO: @agelessphysio @agelessNigeria @credprNigeriaco–Chair: Sedentary Behaviour Council @ISPAH	01ed1f9a43bfb9bd	https://api.twitter.com/1.1/geo/id/01ed1f9a43bfb9bd.json	city	Victoria Island	Victoria Island, Nigeria	NG	Nigeria	NULL	Polygon	[[[3.402322, 6.396264], [3.402322, 6.486797], [3.601369, 6.486797], [3.601369, 6.396264]]]	NULL	NULL	NULL	NULL	en
Sun Mar 15 22:08:11 +0000 2020	1239312463180505088	1239312463180505088	#CoronaVirus has stop everything in the world,movement,economic activities,sport,worshiping in-cluster &amp; everyone b… https://t.co/0ndNdT7YcA	True	<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>	None	None	None	None	None	None	None	{'id': '00c4b9cf000e875b', 'url': 'https://api.twitter.com/1.1/geo/id/00c4b9cf000e875b.json', 'place_type': 'admin', 'name': 'Adamawa', 'full_name': 'Adamawa, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[11.359785, 7.323698], [11.359785, 10.933081], [13.727132, 10.933081], [13.727132, 7.323698]]]}, 'attributes': {}}	None	87663853	87663853	AMAR ABUBAKAR	amargirma	Yola Nigeria 🇳🇬🇸🇦	#TownPlanner, specialize in #EnvironmentalImpactAssessment.#RandomVibes #GoodCovos #MaturedMinds #HalaMadrid	00c4b9cf000e875b	https://api.twitter.com/1.1/geo/id/00c4b9cf000e875b.json	admin	Adamawa	Adamawa, Nigeria	NG	Nigeria	NULL	Polygon	[[[11.359785, 7.323698], [11.359785, 10.933081], [13.727132, 10.933081], [13.727132, 7.323698]]]	NULL	NULL	NULL	NULL	en
Sun Mar 15 13:00:01 +0000 2020	1239174512459071489	1239174512459071489	#CoronaOutbreak is what we're battling with presently, we're praying to God for a removal of the virus from us. By… https://t.co/rpB71HpvxE	True	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '01eddd9d0dbec2c8', 'url': 'https://api.twitter.com/1.1/geo/id/01eddd9d0dbec2c8.json', 'place_type': 'city', 'name': 'Ikeja', 'full_name': 'Ikeja, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[3.198942, 6.482676], [3.198942, 6.698546], [3.43719, 6.698546], [3.43719, 6.482676]]]}, 'attributes': {}}	None	3428614480	3428614480	Olamide Omoregha	Officialregha	Lagos, Nigeria	I help SME's, startups, and student entrepreneurs simplify their ideas and turn them into a profitable business.#meetomoregha📨: olamideomoregha@gmail.com	01eddd9d0dbec2c8	https://api.twitter.com/1.1/geo/id/01eddd9d0dbec2c8.json	city	Ikeja	Ikeja, Nigeria	NG	Nigeria	NULL	Polygon	[[[3.198942, 6.482676], [3.198942, 6.698546], [3.43719, 6.698546], [3.43719, 6.482676]]]	NULL	NULL	NULL	NULL	en
Sun Mar 15 06:18:25 +0000 2020	1239073448879480833	1239073448879480833	Stay clean.Keep #CoronaOutbreak away https://t.co/7LPv9J7jcr	False	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	{'id': '00290f300a719d83', 'url': 'https://api.twitter.com/1.1/geo/id/00290f300a719d83.json', 'place_type': 'city', 'name': 'Yelwa', 'full_name': 'Yelwa, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[9.758432, 10.2469], [9.758432, 10.289348], [9.818808, 10.289348], [9.818808, 10.2469]]]}, 'attributes': {}}	None	80410951	80410951	AISHA YESUFU ♐ #STAN #ENDSARS🇳🇬 🇬🇧 🇺🇸	Mayor38	Nigeria	Vitiligo warrior, A BLOGGER, PR, hyper, media influencer, hiker🗻 DM me for music promotion, business advertisement... - #ENDSARS	00290f300a719d83	https://api.twitter.com/1.1/geo/id/00290f300a719d83.json	city	Yelwa	Yelwa, Nigeria	NG	Nigeria	NULL	Polygon	[[[9.758432, 10.2469], [9.758432, 10.289348], [9.818808, 10.289348], [9.818808, 10.2469]]]	NULL	NULL	NULL	NULL	en
